Variable,Peaks,Min_Diff,Sugg_Input,Voltage_File,Experiment,Limit_Size
frames,3000,0,1,holostim_seq,191011_NVI13_D16,False
reward,0,0,5,holostim_seq,191011_NVI13_D16,False
bmi,3000,0,1,holostim_seq,191011_NVI13_D16,False
holo,45,0,6,holostim_seq,191011_NVI13_D16,False
frames,27000,0,1,baseline,191013_NVI12_D18,False
reward,0,0,5,baseline,191013_NVI12_D18,False
bmi,26584,-1,7,baseline,191013_NVI12_D18,False
holo,0,0,6,baseline,191013_NVI12_D18,False
frames,75600,0,1,BMI,191013_NVI12_D18,True
reward,22,0,5,BMI,191013_NVI12_D18,True
bmi,73838,-583,7,BMI,191013_NVI12_D18,True
holo,0,0,6,BMI,191013_NVI12_D18,True
frames,78885,0,1,HoloVTA_pretrain,191013_NVI12_D18,True
reward,103,0,5,HoloVTA_pretrain,191013_NVI12_D18,True
bmi,77813,-66,7,HoloVTA_pretrain,191013_NVI12_D18,True
holo,111,-114,6,HoloVTA_pretrain,191013_NVI12_D18,True
frames,4900,0,1,holostim_seq,191013_NVI12_D18,False
reward,0,0,5,holostim_seq,191013_NVI12_D18,False
bmi,4895,-2,7,holostim_seq,191013_NVI12_D18,False
holo,75,0,6,holostim_seq,191013_NVI12_D18,False
frames,27000,0,1,baseline,191013_NVI13_D18,False
reward,0,0,5,baseline,191013_NVI13_D18,False
bmi,26077,-3,7,baseline,191013_NVI13_D18,False
holo,0,0,6,baseline,191013_NVI13_D18,False
frames,75600,0,1,BMI,191013_NVI13_D18,False
reward,12,0,5,BMI,191013_NVI13_D18,False
bmi,74659,-1,7,BMI,191013_NVI13_D18,False
holo,0,0,6,BMI,191013_NVI13_D18,False
frames,75512,0,1,HoloVTA_pretrain,191013_NVI13_D18,False
reward,100,0,5,HoloVTA_pretrain,191013_NVI13_D18,False
bmi,74512,-2,7,HoloVTA_pretrain,191013_NVI13_D18,False
holo,114,-111,6,HoloVTA_pretrain,191013_NVI13_D18,False
frames,2600,0,1,holostim_seq,191013_NVI13_D18,False
reward,0,0,5,holostim_seq,191013_NVI13_D18,False
bmi,2600,-1,1,holostim_seq,191013_NVI13_D18,False
holo,39,0,6,holostim_seq,191013_NVI13_D18,False
frames,72000,0,1,baseline,191015_NVI13_D20,False
reward,0,0,5,baseline,191015_NVI13_D20,False
bmi,69890,-1,7,baseline,191015_NVI13_D20,False
holo,0,0,6,baseline,191015_NVI13_D20,False
frames,75600,0,1,BMI,191015_NVI13_D20,False
reward,30,0,5,BMI,191015_NVI13_D20,False
bmi,74369,-3,7,BMI,191015_NVI13_D20,False
holo,0,0,6,BMI,191015_NVI13_D20,False
frames,76495,0,1,HoloVTA_pretrain,191015_NVI13_D20,False
reward,102,0,5,HoloVTA_pretrain,191015_NVI13_D20,False
bmi,75382,-2,7,HoloVTA_pretrain,191015_NVI13_D20,False
holo,110,-115,6,HoloVTA_pretrain,191015_NVI13_D20,False
frames,2800,0,1,holostim_seq,191015_NVI13_D20,False
reward,0,0,5,holostim_seq,191015_NVI13_D20,False
bmi,2800,-1,1,holostim_seq,191015_NVI13_D20,False
holo,41,0,6,holostim_seq,191015_NVI13_D20,False
frames,72000,0,1,baseline,191015_NVI16_D20,False
reward,0,0,5,baseline,191015_NVI16_D20,False
bmi,70954,-2,7,baseline,191015_NVI16_D20,False
holo,0,0,6,baseline,191015_NVI16_D20,False
frames,75600,0,1,BMI,191015_NVI16_D20,False
reward,7,0,5,BMI,191015_NVI16_D20,False
bmi,73373,-3,7,BMI,191015_NVI16_D20,False
holo,0,0,6,BMI,191015_NVI16_D20,False
frames,76299,0,1,HoloVTA_pretrain,191015_NVI16_D20,False
reward,104,0,5,HoloVTA_pretrain,191015_NVI16_D20,False
bmi,75286,-3,7,HoloVTA_pretrain,191015_NVI16_D20,False
holo,108,-117,6,HoloVTA_pretrain,191015_NVI16_D20,False
frames,3800,0,1,holostim_seq,191015_NVI16_D20,False
reward,0,0,5,holostim_seq,191015_NVI16_D20,False
bmi,3800,1,1,holostim_seq,191015_NVI16_D20,False
holo,58,0,6,holostim_seq,191015_NVI16_D20,False
frames,72000,0,1,baseline,191017_NVI12_D22,False
reward,0,0,5,baseline,191017_NVI12_D22,False
bmi,70724,-2,7,baseline,191017_NVI12_D22,False
holo,0,0,6,baseline,191017_NVI12_D22,False
frames,75600,0,1,BMI,191017_NVI12_D22,False
reward,6,0,5,BMI,191017_NVI12_D22,False
bmi,74526,-2,7,BMI,191017_NVI12_D22,False
holo,0,0,6,BMI,191017_NVI12_D22,False
frames,80244,0,1,HoloVTA_pretrain,191017_NVI12_D22,False
reward,100,0,5,HoloVTA_pretrain,191017_NVI12_D22,False
bmi,78358,-3,7,HoloVTA_pretrain,191017_NVI12_D22,False
holo,114,-111,6,HoloVTA_pretrain,191017_NVI12_D22,False
frames,3500,0,1,holostim_seq,191017_NVI12_D22,False
reward,0,0,5,holostim_seq,191017_NVI12_D22,False
bmi,3500,0,1,holostim_seq,191017_NVI12_D22,False
holo,53,0,6,holostim_seq,191017_NVI12_D22,False
frames,72000,0,1,baseline,191017_NVI13_D22,False
reward,0,0,5,baseline,191017_NVI13_D22,False
bmi,69404,-2,7,baseline,191017_NVI13_D22,False
holo,0,0,6,baseline,191017_NVI13_D22,False
frames,75600,0,1,BMI,191017_NVI13_D22,False
reward,8,0,5,BMI,191017_NVI13_D22,False
bmi,73324,-3,7,BMI,191017_NVI13_D22,False
holo,0,0,6,BMI,191017_NVI13_D22,False
frames,77632,0,1,HoloVTA_pretrain,191017_NVI13_D22,False
reward,100,0,5,HoloVTA_pretrain,191017_NVI13_D22,False
